"facility_id","common_name","address","city","zip_code","block_lot","owned_leased","dept_id_for_jurisdiction","jurisdiction","gross_sq_ft","longitude","latitude","supervisor_district","city_tenants"
"1562","3045 Santiago Admin Building","3045 Santiago St","San Francisco","94116","2370074","Own","16","School District (Sfusd)",,"-122.49991369899999","37.74363505000008","4",
"79","7th & Irving Parking Lot","1340 7th Ave","San Francisco","94122","4713008","Own","16","School District (Sfusd)","27,444","-122.46382908499999","37.763560486000074","7","Municipal Transportation Agency"
"90","Abraham Lincoln High","2162 24th Ave","San Francisco","94116","2193025","Own","16","School District (Sfusd)","330,200","-122.48109400899995","37.74728585500003","4",
"1566","Administration Offices - SFUSD","555 Franklin St","San Francisco","94102","0785033","Own","16","School District (Sfusd)",,"-122.42232958799997","37.77929041200008","5",
"107","Alamo Elementary","250 23rd Ave","San Francisco","94121","1411005","Own","16","School District (Sfusd)","50,420","-122.48247961199996","37.78300713500005","1",
"113","Alice Fong Yu Elementary","1541 12th Ave","San Francisco","94122","1858006","Own","16","School District (Sfusd)","59,650","-122.46971143299999","37.75891048300008","7",
"120","Alvarado Elementary","625 Douglass St","San Francisco","94114","2773001D","Own","16","School District (Sfusd)","51,700","-122.43858576499997","37.753750704000026","8",
"88","A P Giannini Middle","3151 Ortega St","San Francisco","94116","2094012","Own","16","School District (Sfusd)","136,392","-122.49721420199995","37.75061591700006","4",
"130","Aptos Middle School","105 Aptos Ave","San Francisco","94127","3266A030","Own","16","School District (Sfusd)",,"-122.46601819399996","37.72969431100006","7",
"136","Argonne CDC","750 16th Ave","San Francisco","94118","1658007","Own","16","School District (Sfusd)","2,500","-122.47405696299995","37.773969511000075","1",
"138","Argonne Elementary","680 18th Ave","San Francisco","94118","1627012","Own","16","School District (Sfusd)","52,000","-122.47654681699998","37.77530505200008","1",
"1455","Asawa San Francisco School of the Arts (SOTA)","555 Portola Dr","San Francisco","94131","7560003","Own","16","School District (Sfusd)","209,500","-122.44866679799998","37.74543136400007","8",
"153","Balboa High","1126 Cayuga Ave","San Francisco","94112","6958A001","Own","16","School District (Sfusd)","261,700","-122.440800363","37.72217071600005","11",
"184","Bessie Carmichael Elementary","375 07th St","San Francisco","94103","3754064","Own","16","School District (Sfusd)","56,358","-122.40668800299994","37.77610457600008","6",
"183","Bessie Carmichael / Filipino Education Ctr (6-8)","824 Harrison St","San Francisco","94107","3752012","Own","16","School District (Sfusd)","13,654","-122.40047915999997","37.780554883000036","6",
"1888","Bessie Smith Nursery & School","95 Gough St","San Francisco","94102","0853020","Own","16","School District (Sfusd)","3,700","-122.42261662399994","37.77376625900007","6",
"196","Bret Harte Elementary","1035 Gilman Ave","San Francisco","94124","4964048","Own","16","School District (Sfusd)","79,000","-122.38980366899995","37.71819686400005","10",
"202","Bryant Elementary and CDC","2641 25th St","San Francisco","94110","4277002","Own","16","School District (Sfusd)","32,500","-122.40481955099995","37.75158055600008","9",
"204","Buena Vista / Horace Mann","3351 23rd St","San Francisco","94110","3643034","Own","16","School District (Sfusd)","68,000","-122.42029704899994","37.75307285100007","9",
"13","Central Radio Station","1 Christmas Tree Point Rd","San Francisco","94131","2719C004","Own","7","Technology","5,344","-122.44663812399995","37.75453912000006","8","San Francisco Housing Authority: School District (Sfusd)"
"15","Cesar Chavez Elementary","825 Shotwell St","San Francisco","94110","3638004","Own","16","School District (Sfusd)","49,100","-122.41509206799998","37.754898980000064","9",
"469","Chinese Education Center","657 Merchant St","San Francisco","94111","0208009","Own","16","School District (Sfusd)","10,580","-122.40405779299999","37.79476824400007","3",
"470","Chinese Immersion Elementary at DeAvila","1250 Waller St","San Francisco","94117","1243008","Own","16","School District (Sfusd)","58,582","-122.44434848099996","37.76973397200004","5",
"3322","City Arts and Tech High","325 La Grande Ave","San Francisco","94112","6071002","Own","16","School District (Sfusd)",,"-122.42510757299999","37.71888586600005","11",
"490","Civic Center Secondary at John Swett Campus","727 Golden Gate Ave","San Francisco","94102","0768015","Own","16","School District (Sfusd)","29,060","-122.42287785799999","37.78031379000004","5",
"493","Claire Lilienthal (3-8 Winfield Scott Campus)","3630 Divisadero St","San Francisco","94123","0920004","Own","16","School District (Sfusd)","34,000","-122.44319755699996","37.80321893200005","2",
"3000","Claire Lilienthal (K-2 Madison Campus)","3950 Sacramento St","San Francisco","94118","1014011","Own","16","School District (Sfusd)","20,855","-122.45806740399996","37.78722555200005","2",
"498","Clarendon Elementary","500 Clarendon Ave","San Francisco","94131","2684011","Own","16","School District (Sfusd)","39,500","-122.45632321499994","37.753757316000076","7",
"500","Cleveland Elementary","455 Athens St","San Francisco","94112","6075003","Own","16","School District (Sfusd)","34,000","-122.42888008499995","37.720630166000035","11",
"504","Commodore Sloat Elementary","50 Darien Way","San Francisco","94127","3256002","Own","16","School District (Sfusd)","59,200","-122.47056913999995","37.731670343000076","7",
"507","Commodore Stockton CDC","1 Trenton St","San Francisco","94108","0192006","Own","16","School District (Sfusd)","21,255","-122.40908641399994","37.79504528100006","3",
"552","Creative Arts Charter","1601 Turk St","San Francisco","94115","0753026","Own","16","School District (Sfusd)","33,117","-122.43589603899994","37.779881000000046","5",
"575","Daniel Webster Elementary","465 Missouri St","San Francisco","94107","4066006","Own","16","School District (Sfusd)","42,800","-122.39597659199995","37.76039379100007","10",
"585","Dianne Feinstein Elementary","2550 25th Ave","San Francisco","94116","2425008","Own","16","School District (Sfusd)","62,087","-122.48136639899997","37.739685845000054","4",
"594","Downtown High","693 Vermont St","San Francisco","94107","4029009","Own","16","School District (Sfusd)","58,760","-122.40387545399994","37.76136330500003","10",
"612","Dr Charles R Drew Elementary","50 Pomona St","San Francisco","94124","5356001","Own","16","School District (Sfusd)","55,234","-122.39399537799994","37.73132207200007","10",
"613","Dr George Washington Carver Elementary","1360 Oakdale Ave","San Francisco","94124","4715003","Own","16","School District (Sfusd)","45,500","-122.38557041999996","37.73184271000008","10",
"614","Dr Martin Luther King Middle","350 Girard St","San Francisco","94134","5983004","Own","16","School District (Sfusd)",,"-122.40546776199994","37.72770298800003","9",
"615","Dr William Cobb Elementary","2725 California St","San Francisco","94115","1027022","Own","16","School District (Sfusd)","36,246","-122.43962657599997","37.78770183600005","2",
"627","Edison Charter Academy Elementary","3531 22nd St","San Francisco","94114","3630001","Own","16","School District (Sfusd)","59,200","-122.42626570999994","37.754436242000054","8",
"629","El Dorado Elementary","70 Delta St","San Francisco","94134","6164024","Own","16","School District (Sfusd)","30,300","-122.40729607299994","37.71842198300004","10",
"624","E R Taylor Elementary","423 Burrows St","San Francisco","94134","5985001","Own","16","School District (Sfusd)","56,113","-122.40746582399998","37.72767974900006","9",
"650","Everett Middle","450 Church St","San Francisco","94114","3565001","Own","16","School District (Sfusd)",,"-122.42897732499995","37.76361310100003","8",
"654","Excelsior Youth Center","163 London St","San Francisco","94112","6012005","Own","16","School District (Sfusd)","20,000","-122.43215677599994","37.726358567000034","11",
"671","Fairmount Elementary","65 Chenery St","San Francisco","94131","6657008","Own","16","School District (Sfusd)","60,960","-122.42500898899999","37.740459576000035","8",
