School,Grade Levels,Hours,Address
A.P. Giannini Middle School,Middle School (6-8),"Mo - Tu: 9:30 am-4:00 pm
We: 9:30 am-2:15 pm
Th - Fr: 9:30 am-4:00 pm","3151 Ortega Street , San Francisco, California 94122"
Abraham Lincoln High School,High School (9-12),"Mo - Tu: 8:40 am-3:45 pm
We: 8:40 am-2:35 pm
Th - Fr: 8:40 am-3:45 pm","2162 24th Avenue , San Francisco, California 94116"
Access SFUSD: Bay Street,County School (13),Mo - Fr: 8:40 am-2:20 pm,"Transition Training Center 416 Bay Street, San Francisco, California 94133"
AccessSFUSD: The Arc,County School (13),Mo - Fr: 8:40 am-2:20 pm,"1520 Howard St , San Francisco, California 94103"
Alamo Elementary School,"Elementary School (TK, K, 1-5)","Mo - Tu: 7:50 am-2:05 pm
We: 7:50 am-12:50 pm
Th - Fr: 7:50 am-2:05 pm","250 23rd Avenue , San Francisco, California 94121"
Alice Fong Yu Alternative School (K-8),"Elementary School, K-8 School, Middle School (K, 1-8)","Mo - Tu: 9:30 am-4:00 pm
We: 9:30 am-2:30 pm
Th - Fr: 9:30 am-4:00 pm","1541 12th Avenue , San Francisco, California 94122"
Alvarado Elementary School,"Early Education, Elementary School (TK, K, 1-5)","Mo - Tu: 7:50 am-2:05 pm
We: 7:50 am-12:50 pm
Th - Fr: 7:50 am-2:05 pm","625 Douglass Street , San Francisco, California 94114"
Aptos Middle School,Middle School (6-8),"Mo - Tu: 9:30 am-4:00 pm
We: 9:30 am-2:15 pm
Th - Fr: 9:30 am-4:00 pm","105 Aptos Avenue , San Francisco, California 94127"
Argonne Early Education School,"Early Education (PreK, TK)",Mo - Fr: 7:30 am-5:30 pm,"750 - 16th Avenue, San Francisco, CA 94118 , San Francisco, California 94118"
Argonne Elementary School - Extended Year,"Elementary School (TK, K, 1-5)","Mo - Tu: 7:50 am-2:05 pm
We: 7:50 am-12:50 pm
Th - Fr: 7:50 am-2:05 pm","680 18th Avenue , San Francisco, California 94121"
Balboa High School,High School (9-13),"Mo - Tu: 8:40 am-3:50 pm
We: 8:40 am-1:30 pm
Th - Fr: 8:40 am-3:50 pm","1000 Cayuga Avenue , San Francisco, California 94112"
Bessie Carmichael School PreK-8 Filipino Education Center,"Early Education, Elementary School, K-8 School, Middle School (PreK, TK, K, 1-8)","Mo - Tu: 9:30 am-3:45 pm
We: 9:30 am-2:30 pm
Th - Fr: 9:30 am-3:45 pm","375 7th Street (PK-5 Campus) 824 Harrison St. (6-8 Campus), San Francisco, California 94103"
Bret Harte Elementary School,"Early Education, Elementary School (PreK, TK, K, 1-5)","Mo - Tu: 8:40 am-2:55 pm
We: 8:40 am-1:40 pm
Th - Fr: 8:40 am-2:55 pm","1035 Gilman Avenue , San Francisco, California 94124"
Bryant Elementary School,"Early Education, Elementary School (TK, K, 1-5)","Mo - Tu: 7:50 am-2:05 pm
We: 7:50 am-12:50 pm
Th - Fr: 7:50 am-2:05 pm","2641 25th Street , San Francisco, California 94110"
Buena Vista Horace Mann K-8 Community School,"Elementary School, K-8 School, Middle School (K, 1-8)","Mo - Tu: 9:30 am-4:00 pm
We: 9:30 am-2:30 pm
Th - Fr: 9:30 am-4:00 pm","325 La Grande Ave , San Francisco, California 94112-2866"
C.A.R.E. Bayview,County School (9-10),"Mo - Tu: 9:30 am-3:00 pm
We: 9:30 am-2:10 pm
Th: 9:30 am-3:00 pm
Fr: 9:30 am-1:40 pm","1601 Lane Street, 3rd Floor , San Francisco, California 94124"
C.A.R.E. Buchanan,County School (9-10),"Mo - Tu: 9:30 am-3:00 pm
We: 9:30 am-2:15 pm
Th: 9:30 am-3:00 pm
Fr: 9:30 am-1:40 pm","1530 Buchanan Street , San Francisco, California 94124"
C.A.R.E. Middle School,County School (6-8),"Mo - Tu: 9:45 am-3:15 pm
We: 9:45 am-2:15 pm
Th: 9:45 am-3:15 pm
Fr: 9:45 am-1:50 pm","1601 Lane Street, 2nd Floor , SAN FRANCISCO, California 94124"
César Chávez Elementary School,"Elementary School (TK, K, 1-5)","Mo - Tu: 8:40 am-2:55 pm
We: 8:40 am-1:40 pm
Th - Fr: 8:40 am-2:55 pm","825 Shotwell Street , San Francisco, California 94110"
Chinese Immersion School at De Avila 中文沉浸學校,"Elementary School (TK, K, 1-5)","Mo - Tu: 8:40 am-2:55 pm
We: 8:40 am-1:40 pm
Th - Fr: 8:40 am-2:55 pm","1250 Waller Street , San Francisco, California 94117"
Civic Center Secondary School,"Middle School, County School (7-12)",Mo - Fr: 9:30 am-2:00 pm,"727 Golden Gate Avenue , San Francisco, California 94102"
Claire Lilienthal Alternative School (K-2 Madison Campus),"Elementary School, K-8 School (K, 1-2)","Mo - Tu: 9:30 am-3:45 pm
We: 9:30 am-2:30 pm
Th - Fr: 9:30 am-3:45 pm","3950 Sacramento Street , San Francisco, California 94118"
